POS|word|tags|TagsMeaning|field2
RR|seriously|A13.3 Z4 E4.1-|A1.1.2|Damaging and destroying
RR|seriously|A13.3 Z4 E4.1-|A1.2|Suitability
RR|seriously|A13.3 Z4 E4.1-|A1.3|Caution
RR|seriously|A13.3 Z4 E4.1-|A1.4|Chance, luck
RR|seriously|A13.3 Z4 E4.1-|A1.5|Use
RR|seriously|A13.3 Z4 E4.1-|A1.5.1|Using
RR|seriously|A13.3 Z4 E4.1-|A1.5.2|Usefulness
RR|seriously|A13.3 Z4 E4.1-|A1.6|Physical/mental
RR|seriously|A13.3 Z4 E4.1-|A1.7|Constraint
RR|seriously|A13.3 Z4 E4.1-|A1.8|Inclusion/Exclusion
RR|seriously|A13.3 Z4 E4.1-|A1.9|Avoiding
RR|seriously|A13.3 Z4 E4.1-|A10|Open/closed; Hiding/Hidden; Finding; Showing
RR|seriously|A13.3 Z4 E4.1-|A11|Importance
RR|seriously|A13.3 Z4 E4.1-|A11.1|Importance: Important
RR|seriously|A13.3 Z4 E4.1-|A11.2|Importance: Noticeability
RR|seriously|A13.3 Z4 E4.1-|A12|Easy/difficult
RR|seriously|A13.3 Z4 E4.1-|A13|Degree
RR|seriously|A13.3 Z4 E4.1-|A13.1|Degree: Non-specific
RR|seriously|A13.3 Z4 E4.1-|A13.2|Degree: Maximizers
RR|seriously|A13.3 Z4 E4.1-|A13.3|Degree: Boosters
RR|seriously|A13.3 Z4 E4.1-|A13.4|Degree: Approximators
RR|seriously|A13.3 Z4 E4.1-|A13.5|Degree: Compromisers
RR|seriously|A13.3 Z4 E4.1-|A13.6|Degree: Diminishers
RR|seriously|A13.3 Z4 E4.1-|A13.7|Degree: Minimizers
RR|seriously|A13.3 Z4 E4.1-|A14|Exclusivizers/particularizers
RR|seriously|A13.3 Z4 E4.1-|A15|Safety/Danger
IO|of|Z5|Z5|Grammatical bin
VVG|contracting|Q1.2/I2.1 N3.2-/A2.1 B2-|Q1|LINGUISTIC ACTIONS, STATES AND PROCESSES; COMMUNICATION
VVG|contracting|Q1.2/I2.1 N3.2-/A2.1 B2-|Q1.1|LINGUISTIC ACTIONS, STATES AND PROCESSES; COMMUNICATION
VVG|contracting|Q1.2/I2.1 N3.2-/A2.1 B2-|Q1.2|Paper documents and writing
VVG|contracting|Q1.2/I2.1 N3.2-/A2.1 B2-|Q1.3|Telecommunications
II|to|Z5|Z5|Grammatical bin
AT1|a|Z5|Z5|Grammatical bin
JJ|modest|N3.2- S1.2.3-|N3|Measurement
JJ|modest|N3.2- S1.2.3-|N3.1|Measurement: General
JJ|modest|N3.2- S1.2.3-|N3.2|Measurement: Size
JJ|modest|N3.2- S1.2.3-|N3.3|Measurement: Distance
JJ|modest|N3.2- S1.2.3-|N3.4|Measurement: Volume
JJ|modest|N3.2- S1.2.3-|N3.5|Measurement: Weight
JJ|modest|N3.2- S1.2.3-|N3.6|Measurement: Area
JJ|modest|N3.2- S1.2.3-|N3.7|Measurement: Length & height
JJ|modest|N3.2- S1.2.3-|N3.8|Measurement: Speed
CC|and|Z5|Z5|Grammatical bin
JJ|unassuming|S1.2.3-|S1|SOCIAL ACTIONS, STATES AND PROCESSES
JJ|unassuming|S1.2.3-|S1.1|SOCIAL ACTIONS, STATES AND PROCESSES
JJ|unassuming|S1.2.3-|S1.1.1|SOCIAL ACTIONS, STATES AND PROCESSES
JJ|unassuming|S1.2.3-|S1.1.2|Reciprocity
JJ|unassuming|S1.2.3-|S1.1.3|Participation
JJ|unassuming|S1.2.3-|S1.1.4|Deserve etc.
JJ|unassuming|S1.2.3-|S1.2|Personality traits
JJ|unassuming|S1.2.3-|S1.2.1|Approachability and Friendliness
JJ|unassuming|S1.2.3-|S1.2.2|Avarice
JJ|unassuming|S1.2.3-|S1.2.3|Egoism
JJ|unassuming|S1.2.3-|S1.2.4|Politeness
JJ|unassuming|S1.2.3-|S1.2.5|Toughness; strong/weak
JJ|unassuming|S1.2.3-|S1.2.6|Sensible
NP1|D.|Z5|Z5|Grammatical bin
CCB|But|Z5|Z5|Grammatical bin
RRQV|whenever|Z5|Z5|Grammatical bin
NNB|Mr.|Z1m[i15.3.1 S2.2m Z1m[i14.2.1|Z1|Personal names
NP1|James|Z1m[i15.3.2 Z1m Z1m[i14.2.2 Z1mf[i16.2.1 Z3c[i16.2.1 Z1mf[i17.3.1 Z3c[i17.3.1|Z1|Personal names
NP1|Dillingham|Z1m[i15.3.3 Z1mf[i16.2.2 Z3c[i16.2.2 Z1mf[i17.3.2 Z3c[i17.3.2 Z1mf[i18.2.1 Z3c[i18.2.1|Z1|Personal names
NP1|Young|T3- Z1mf[i17.3.3 Z3c[i17.3.3 Z1mf[i18.2.2 Z3c[i18.2.2|T3|Time: Old, new and young; age
VVD|came|M1[i19.2.1 M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2|M1|Moving, coming and going
RL|home|M1[i19.2.2 H4 M6|M1|Moving, coming and going
CC|and|Z5|Z5|Grammatical bin
VVD|reached|M1 N3.3 Q2.1 X9.2+|M1|Moving, coming and going
APPGE|his|Z8m|Z8|Pronouns etc.
NN1|flat|H1/H4 M3 W3 B5% O4.4%|H1|Architecture and kinds of houses and buildings
RL|above|M6 A5.1++|M6|Location and direction
PPHS1|he|Z8m|Z8|Pronouns etc.
VBDZ|was|Z5 A3+|Z5|Grammatical bin
VVN|called|Q2.2 S1.1.1 Q1.3 S9%|Q2|Speech acts
VVN|called|Q2.2 S1.1.1 Q1.3 S9%|Q2.1|Speech etc:- Communicative
VVN|called|Q2.2 S1.1.1 Q1.3 S9%|Q2.2|Speech acts
NP1|Jim|Z1m|Z1|Personal names
CC|and|Z5|Z5|Grammatical bin
RR|greatly|A13.3 A5.1+|A1|GENERAL AND ABSTRACT TERMS
RR|greatly|A13.3 A5.1+|A1.1.1|General actions, making etc.
RR|greatly|A13.3 A5.1+|A1.1.2|Damaging and destroying
RR|greatly|A13.3 A5.1+|A1.2|Suitability
RR|greatly|A13.3 A5.1+|A1.3|Caution
RR|greatly|A13.3 A5.1+|A1.4|Chance, luck
RR|greatly|A13.3 A5.1+|A1.5|Use
RR|greatly|A13.3 A5.1+|A1.5.1|Using
RR|greatly|A13.3 A5.1+|A1.5.2|Usefulness
RR|greatly|A13.3 A5.1+|A1.6|Physical/mental
RR|greatly|A13.3 A5.1+|A1.7|Constraint
RR|greatly|A13.3 A5.1+|A1.8|Inclusion/Exclusion
RR|greatly|A13.3 A5.1+|A1.9|Avoiding
RR|greatly|A13.3 A5.1+|A10|Open/closed; Hiding/Hidden; Finding; Showing
RR|greatly|A13.3 A5.1+|A11|Importance
RR|greatly|A13.3 A5.1+|A11.1|Importance: Important
RR|greatly|A13.3 A5.1+|A11.2|Importance: Noticeability
RR|greatly|A13.3 A5.1+|A12|Easy/difficult
RR|greatly|A13.3 A5.1+|A13|Degree
RR|greatly|A13.3 A5.1+|A13.1|Degree: Non-specific
RR|greatly|A13.3 A5.1+|A13.2|Degree: Maximizers
RR|greatly|A13.3 A5.1+|A13.3|Degree: Boosters
RR|greatly|A13.3 A5.1+|A13.4|Degree: Approximators
RR|greatly|A13.3 A5.1+|A13.5|Degree: Compromisers
RR|greatly|A13.3 A5.1+|A13.6|Degree: Diminishers
RR|greatly|A13.3 A5.1+|A13.7|Degree: Minimizers
RR|greatly|A13.3 A5.1+|A14|Exclusivizers/particularizers
RR|greatly|A13.3 A5.1+|A15|Safety/Danger
VVN|hugged|S3.2|S3|Relationship
VVN|hugged|S3.2|S3.1|Relationship: General
VVN|hugged|S3.2|S3.2|Relationship: Intimate/sexual
II|by|Z5|Z5|Grammatical bin
NNB|Mrs.|Z1f[i23.3.1 Z1m[i21.3.1 Z1m[i20.2.1 Z1f[i22.2.1|Z1|Personal names
NP1|James|Z1f[i23.3.2 Z1m Z1m[i21.3.2 Z1m[i20.2.2 Z1f[i22.2.2 Z1mf[i24.2.1 Z3c[i24.2.1 Z1mf[i25.3.1 Z3c[i25.3.1|Z1|Personal names
NP1|Dillingham|Z1f[i23.3.3 Z1m[i21.3.3 Z1mf[i24.2.2 Z3c[i24.2.2 Z1mf[i25.3.2 Z3c[i25.3.2 Z1mf[i26.2.1 Z3c[i26.2.1|Z1|Personal names
NP1|Young|T3- Z1mf[i25.3.3 Z3c[i25.3.3 Z1mf[i26.2.2 Z3c[i26.2.2|T3|Time: Old, new and young; age
RR|already|T1.1.1|T1|Time
RR|already|T1.1.1|T1.1|Time: General
RR|already|T1.1.1|T1.1.1|Time: General: Past
RR|already|T1.1.1|T1.1.2|Time: General: Present; simultaneous
RR|already|T1.1.1|T1.1.3|Time: General: Future
RR|already|T1.1.1|T1.2|Time: Momentary
RR|already|T1.1.1|T1.3|Time: Period
VVN|introduced|S1.1.1 T2+|S1|SOCIAL ACTIONS, STATES AND PROCESSES
VVN|introduced|S1.1.1 T2+|S1.1|SOCIAL ACTIONS, STATES AND PROCESSES
VVN|introduced|S1.1.1 T2+|S1.1.1|SOCIAL ACTIONS, STATES AND PROCESSES
VVN|introduced|S1.1.1 T2+|S1.1.2|Reciprocity
VVN|introduced|S1.1.1 T2+|S1.1.3|Participation
VVN|introduced|S1.1.1 T2+|S1.1.4|Deserve etc.
VVN|introduced|S1.1.1 T2+|S1.2|Personality traits
VVN|introduced|S1.1.1 T2+|S1.2.1|Approachability and Friendliness
VVN|introduced|S1.1.1 T2+|S1.2.2|Avarice
VVN|introduced|S1.1.1 T2+|S1.2.3|Egoism
VVN|introduced|S1.1.1 T2+|S1.2.4|Politeness
VVN|introduced|S1.1.1 T2+|S1.2.5|Toughness; strong/weak
VVN|introduced|S1.1.1 T2+|S1.2.6|Sensible
II|to|Z5|Z5|Grammatical bin
PPY|you|Z8mf|Z8|Pronouns etc.
CSA|as|Z5|Z5|Grammatical bin
NP1|Della|Z99|Z9|Trash can
NP1|Della|Z99|Z99|Unmatched
DDQ|Which|Z5 Z8|Z5|Grammatical bin
VBZ|is|A3+ Z5|A3|Being
DB|all|N5.1+|N5|Quantities
DB|all|N5.1+|N5.1|Entirety; maximum
DB|all|N5.1+|N5.2|Exceeding; waste
RG|very|A13.3|A1|GENERAL AND ABSTRACT TERMS
RG|very|A13.3|A1.1.1|General actions, making etc.
RG|very|A13.3|A1.1.2|Damaging and destroying
RG|very|A13.3|A1.2|Suitability
RG|very|A13.3|A1.3|Caution
RG|very|A13.3|A1.4|Chance, luck
RG|very|A13.3|A1.5|Use
RG|very|A13.3|A1.5.1|Using
RG|very|A13.3|A1.5.2|Usefulness
RG|very|A13.3|A1.6|Physical/mental
RG|very|A13.3|A1.7|Constraint
RG|very|A13.3|A1.8|Inclusion/Exclusion
RG|very|A13.3|A1.9|Avoiding
RG|very|A13.3|A10|Open/closed; Hiding/Hidden; Finding; Showing
RG|very|A13.3|A11|Importance
RG|very|A13.3|A11.1|Importance: Important
RG|very|A13.3|A11.2|Importance: Noticeability
RG|very|A13.3|A12|Easy/difficult
RG|very|A13.3|A13|Degree
RG|very|A13.3|A13.1|Degree: Non-specific
RG|very|A13.3|A13.2|Degree: Maximizers
RG|very|A13.3|A13.3|Degree: Boosters
RG|very|A13.3|A13.4|Degree: Approximators
RG|very|A13.3|A13.5|Degree: Compromisers
RG|very|A13.3|A13.6|Degree: Diminishers
RG|very|A13.3|A13.7|Degree: Minimizers
RG|very|A13.3|A14|Exclusivizers/particularizers
RG|very|A13.3|A15|Safety/Danger
JJ|good|A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+|A5|Evaluation
JJ|good|A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+|A5.1|Evaluation:- Good/bad
JJ|good|A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+|A5.2|Evaluation:- True/false
JJ|good|A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+|A5.3|Evaluation:- Accuracy
JJ|good|A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+|A5.4|Evaluation:- Authenticity
NP1|Della|Z99|Z9|Trash can
NP1|Della|Z99|Z99|Unmatched
VVD|finished|T2- A1.5.1/N5.1+ A1.1.1 X9.2-|T2|Time: Beginning and ending
APPGE|her|Z8f|Z8|Pronouns etc.
NN1|cry|E4.1- Q2.2|E4|Happy/sad
NN1|cry|E4.1- Q2.2|E4.1|Happy/sad: Happy
NN1|cry|E4.1- Q2.2|E4.2|Happy/sad: Contentment
CC|and|Z5|Z5|Grammatical bin
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1|GENERAL AND ABSTRACT TERMS
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.1.1|General actions, making etc.
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.1.2|Damaging and destroying
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.2|Suitability
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.3|Caution
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.4|Chance, luck
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.5|Use
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.5.1|Using
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.5.2|Usefulness
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.6|Physical/mental
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.7|Constraint
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.8|Inclusion/Exclusion
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A1.9|Avoiding
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A10|Open/closed; Hiding/Hidden; Finding; Showing
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A11|Importance
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A11.1|Importance: Important
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A11.2|Importance: Noticeability
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A12|Easy/difficult
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A13|Degree
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A13.1|Degree: Non-specific
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A13.2|Degree: Maximizers
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A13.3|Degree: Boosters
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A13.4|Degree: Approximators
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A13.5|Degree: Compromisers
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A13.6|Degree: Diminishers
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A13.7|Degree: Minimizers
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A14|Exclusivizers/particularizers
VVN|attended|A1.1.1[i27.2.1 S1.1.3+ X5.1+|A15|Safety/Danger
II|to|A1.1.1[i27.2.2 Z5|A1|GENERAL AND ABSTRACT TERMS
II|to|A1.1.1[i27.2.2 Z5|A1.1.1|General actions, making etc.
II|to|A1.1.1[i27.2.2 Z5|A1.1.2|Damaging and destroying
II|to|A1.1.1[i27.2.2 Z5|A1.2|Suitability
II|to|A1.1.1[i27.2.2 Z5|A1.3|Caution
II|to|A1.1.1[i27.2.2 Z5|A1.4|Chance, luck
II|to|A1.1.1[i27.2.2 Z5|A1.5|Use
II|to|A1.1.1[i27.2.2 Z5|A1.5.1|Using
II|to|A1.1.1[i27.2.2 Z5|A1.5.2|Usefulness
II|to|A1.1.1[i27.2.2 Z5|A1.6|Physical/mental
II|to|A1.1.1[i27.2.2 Z5|A1.7|Constraint
II|to|A1.1.1[i27.2.2 Z5|A1.8|Inclusion/Exclusion
II|to|A1.1.1[i27.2.2 Z5|A1.9|Avoiding
II|to|A1.1.1[i27.2.2 Z5|A10|Open/closed; Hiding/Hidden; Finding; Showing
II|to|A1.1.1[i27.2.2 Z5|A11|Importance
II|to|A1.1.1[i27.2.2 Z5|A11.1|Importance: Important
II|to|A1.1.1[i27.2.2 Z5|A11.2|Importance: Noticeability
II|to|A1.1.1[i27.2.2 Z5|A12|Easy/difficult
II|to|A1.1.1[i27.2.2 Z5|A13|Degree
II|to|A1.1.1[i27.2.2 Z5|A13.1|Degree: Non-specific
II|to|A1.1.1[i27.2.2 Z5|A13.2|Degree: Maximizers
II|to|A1.1.1[i27.2.2 Z5|A13.3|Degree: Boosters
II|to|A1.1.1[i27.2.2 Z5|A13.4|Degree: Approximators
II|to|A1.1.1[i27.2.2 Z5|A13.5|Degree: Compromisers
II|to|A1.1.1[i27.2.2 Z5|A13.6|Degree: Diminishers
II|to|A1.1.1[i27.2.2 Z5|A13.7|Degree: Minimizers
II|to|A1.1.1[i27.2.2 Z5|A14|Exclusivizers/particularizers
II|to|A1.1.1[i27.2.2 Z5|A15|Safety/Danger
APPGE|her|Z8f|Z8|Pronouns etc.
NN2|cheeks|B1 S1.2.4-|B1|Anatomy and physiology
IW|with|Z5|Z5|Grammatical bin
AT|the|Z5|Z5|Grammatical bin
NN1|powder|O1.1 B4 G3|O1|Substances and materials generally
NN1|powder|O1.1 B4 G3|O1.1|Substances and materials generally: Solid
NN1|powder|O1.1 B4 G3|O1.2|Substances and materials generally: Liquid
NN1|powder|O1.1 B4 G3|O1.3|Substances and materials generally: Gas
NN1|rag|O2 Q4.2 E4.1+|O2|Objects generally
PPHS1|She|Z8f|Z8|Pronouns etc.
VVD|stood|M6 M2 M8 T2++ N3 A3+ X2.1 A7 G1.2 S8+ S7.4+ I2.2 S1.2.5+|M6|Location and direction
II|by|Z5|Z5|Grammatical bin
AT|the|Z5|Z5|Grammatical bin
NN1|window|H2 T1.3|H2|Parts of buildings
CC|and|Z5|Z5|Grammatical bin
VVD|looked|X3.4+[i29.2.1 X3.4+/S2mf[i29.2.1 X2.6+[i29.2.1 A8 X3.4 X2.4 X7+ X3.4[i28.2.1 X2.4[i28.2.1 X2.1[i28.2.1|X3|Sensory
VVD|looked|X3.4+[i29.2.1 X3.4+/S2mf[i29.2.1 X2.6+[i29.2.1 A8 X3.4 X2.4 X7+ X3.4[i28.2.1 X2.4[i28.2.1 X2.1[i28.2.1|X3.1|Sensory:- Taste
VVD|looked|X3.4+[i29.2.1 X3.4+/S2mf[i29.2.1 X2.6+[i29.2.1 A8 X3.4 X2.4 X7+ X3.4[i28.2.1 X2.4[i28.2.1 X2.1[i28.2.1|X3.2|Sensory:- Sound
VVD|looked|X3.4+[i29.2.1 X3.4+/S2mf[i29.2.1 X2.6+[i29.2.1 A8 X3.4 X2.4 X7+ X3.4[i28.2.1 X2.4[i28.2.1 X2.1[i28.2.1|X3.3|Sensory:- Touch
VVD|looked|X3.4+[i29.2.1 X3.4+/S2mf[i29.2.1 X2.6+[i29.2.1 A8 X3.4 X2.4 X7+ X3.4[i28.2.1 X2.4[i28.2.1 X2.1[i28.2.1|X3.4|Sensory:- Sight
VVD|looked|X3.4+[i29.2.1 X3.4+/S2mf[i29.2.1 X2.6+[i29.2.1 A8 X3.4 X2.4 X7+ X3.4[i28.2.1 X2.4[i28.2.1 X2.1[i28.2.1|X3.5|Sensory:- Smell
RP|out|X3.4+/S2mf[i29.2.2 X2.6+[i29.2.2 X3.4+[i29.2.2 M6|X3|Sensory
RP|out|X3.4+/S2mf[i29.2.2 X2.6+[i29.2.2 X3.4+[i29.2.2 M6|X3.1|Sensory:- Taste
RP|out|X3.4+/S2mf[i29.2.2 X2.6+[i29.2.2 X3.4+[i29.2.2 M6|X3.2|Sensory:- Sound
RP|out|X3.4+/S2mf[i29.2.2 X2.6+[i29.2.2 X3.4+[i29.2.2 M6|X3.3|Sensory:- Touch
RP|out|X3.4+/S2mf[i29.2.2 X2.6+[i29.2.2 X3.4+[i29.2.2 M6|X3.4|Sensory:- Sight
RP|out|X3.4+/S2mf[i29.2.2 X2.6+[i29.2.2 X3.4+[i29.2.2 M6|X3.5|Sensory:- Smell
RR|dully|X5.2- O4.3 W2 W4 X3.2 N5-|X5|Attention
RR|dully|X5.2- O4.3 W2 W4 X3.2 N5-|X5.1|Attention
RR|dully|X5.2- O4.3 W2 W4 X3.2 N5-|X5.2|Interest/boredom/excited/energetic
II|at|Z5 X3.4[i28.2.2 X2.4[i28.2.2 X2.1[i28.2.2|Z5|Grammatical bin
AT1|a|Z5|Z5|Grammatical bin
JJ|gray|O4.3|O4|Physical attributes
JJ|gray|O4.3|O4.1|General appearance and physical properties
JJ|gray|O4.3|O4.2|Judgement of appearance (pretty etc.)
JJ|gray|O4.3|O4.3|Colour and colour patterns
JJ|gray|O4.3|O4.4|Shape
JJ|gray|O4.3|O4.5|Texture
JJ|gray|O4.3|O4.6|Temperature
NN1|cat|L2 M3|L2|Living creatures generally
VVG|walking|M1 L2 X9.2+/A12+|M1|Moving, coming and going
AT1|a|Z5|Z5|Grammatical bin
JJ|gray|O4.3|O4|Physical attributes
JJ|gray|O4.3|O4.1|General appearance and physical properties
JJ|gray|O4.3|O4.2|Judgement of appearance (pretty etc.)
JJ|gray|O4.3|O4.3|Colour and colour patterns
JJ|gray|O4.3|O4.4|Shape
JJ|gray|O4.3|O4.5|Texture
JJ|gray|O4.3|O4.6|Temperature
NN1|fence|H2 G2.1-/S2mf A6.1-|H2|Parts of buildings
II|in|Z5|Z5|Grammatical bin
AT1|a|Z5|Z5|Grammatical bin
JJ|gray|O4.3|O4|Physical attributes
JJ|gray|O4.3|O4.1|General appearance and physical properties
JJ|gray|O4.3|O4.2|Judgement of appearance (pretty etc.)
JJ|gray|O4.3|O4.3|Colour and colour patterns
JJ|gray|O4.3|O4.4|Shape
JJ|gray|O4.3|O4.5|Texture
JJ|gray|O4.3|O4.6|Temperature
NN1|backyard|H3|H3|Areas around or near houses
