POS,word,tags
MC1  ,One,N1
NNU1 ,dollar,I1 
CC   ,and,Z5 
MC   ,eighty-seven,N1 
NNU2 ,cents,I1 
0,0,
DD1  ,That,Z8
VBDZ ,was,A3+
DB   ,all,N5.1+ 
0,0,
CC   ,And,Z5 
MC   ,sixty,N1
NNU2 ,cents,I1 
IO   ,of,Z5 
PPH1 ,it,Z8 
VBDZ ,was,A3+
II   ,in,Z5 
NNU2 ,pennies,I1 
0,0,
NP2  ,Pennies,I1 
VVD  ,saved,I1.1 B3 A9+ S8+ A1.9 K5.1 S9 
MC1  ,one,N1
CC   ,and,Z5 
MC   ,two,N1 T3 T1.2 
II   ,at,T1.1.2[i1.3.1 Z5 
AT1  ,a,T1.1.2[i1.3.2 Z5 
NNT1 ,time,T1.1.2[i1.3.3 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@ 
II   ,by,Z5 
VVG  ,bulldozing,A1.1.2 
AT   ,the,Z5 
NN1  ,grocer,F1/S2mf 
CC   ,and,Z5 
AT   ,the,Z5 
NN1  ,vegetable,F1 X9.1-/S2mf 
NN1  ,man,S2.2m 
CC   ,and,Z5 
AT   ,the,Z5 
NN1  ,butcher,F1/S2mf L1-/S2mf 
CS   ,until,Z5 
PN1  ,one,Z8 
GE   ,'s,Z5 
NN2  ,cheeks,B1 S1.2.4- 
VVN  ,burned,O4.6+ A1.5.1 
IW   ,with,Z5 
AT   ,the,Z5 
JJ   ,silent,X3.2- A10- 
NN1  ,imputation,Q2.2 G2.1 A2.2/Q2.2 
IO   ,of,Z5 
NN1  ,parsimony,I1.3- 
CST  ,that,Z5 Z8 
DA   ,such,Z5 Z8 
JJ   ,close,N3.3- A4.2+ S5+ S1.1.3+ A6.1+ E2+ W4 
NN1@ ,dealing,A1.1.1 I2.2 I2.1 A9- K5.2 F3/I2.2 
VVD  ,implied,Q1.1 
0,0,
MC   ,Three,N6+[i2.2.1 A13.3[i2.2.1 N1 T1.2 T3 
NNT2 ,times,N6+[i2.2.2 A13.3[i2.2.2 T1 T1.2 T1.3 T1.1.2 N6 N1 
NP1  ,Della,Z99 
VVD  ,counted,N2 A11.1+ 
PPH1 ,it,Z8 
0,0,
MC1  ,One,N1 T3 T1.2 
NNU1 ,dollar,I1 
CC   ,and,Z5 
NN1  ,eighty-,N1 T3 N3.2+ N5+ A11.1+ 
MC   ,seven,N1 T3 T1.2 
NNU2 ,cents,I1 
0,0,
CC   ,And,Z5 
AT   ,the,Z5 
MD   ,next,T1.1.3[i3.2.1 N4 
NNT1 ,day,T1.1.3[i3.2.2 T1.3 
VM   ,would,A7+ 
VBI  ,be,A3+ Z5 
NNT1 ,Christmas,S9/T1.3 
0,0,
EX   ,There,Z5 
VBDZ ,was,A3+ Z5 
RR   ,clearly,A7+ A11.2+ A12+ 
PN1  ,nothing,Z6/Z8 
TO   ,to,Z5 
VDI  ,do,A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5 
CCB  ,but,Z5 
VV0@ ,flop,M1 
RP   ,down,Z5 M6 N4 N5-- E4.1- S7.1- N3.1 Q1.2 O1.1 L2 Z1mf F1/B1 A1.1.1 
II   ,on,Z5 
AT   ,the,Z5 
JJ   ,shabby,O4.2- 
JJ   ,little,N3.2- T3- N3.7- N3.3- T1.3- A11.1- 
NN1  ,couch,H5 
CC   ,and,Z5 
NN1  ,howl,E4.1- Q2.2 X3.2 
0,0,
RR   ,So,Z5 A13.3 
NP1  ,Della,Z99 
VDD  ,did,A1.1.1 G2.2- X9.2+ E3- G2.1% Z5 
PPH1 ,it,Z8 
0,0,
DDQ  ,Which,Z5 Z8 
VVZ  ,instigates,T2+ 
AT   ,the,Z5 
JJ   ,moral,G2.2+ E1 
NN1  ,reflection,X3.4 Y1/M2 A2.2/A10+ X2.1 
CST  ,that,Z5 Z8 
NN1  ,life,L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1 
VBZ  ,is,Z5 A3+ 
VVN  ,made,A5.2-[i4.2.1 B4[i4.2.1 N5[i4.2.1 S3.1[i4.2.1 A1.8+[i4.2.1 A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+ 
RP   ,up,A5.2-[i4.2.2 B4[i4.2.2 N5[i4.2.2 S3.1[i4.2.2 A1.8+[i4.2.2 
IO   ,of,Z5 
NN2  ,sobs,E4.1- 
,    ,,,
VVZ  ,sniffles,B1 B2- 
,    ,,,
CC   ,and,Z5 
NN2  ,smiles,E4.1+ 
,    ,,,
IW   ,with,Z5 
NN2@ ,sniffles,B2- 
VVG  ,predominating,N5++ A11.1+ A11.2+ 
0,0,
CS   ,While,Z5 
AT   ,the,Z5 
NN1  ,mistress,S7.1+/S2.1f S3.2/S2.1f P1/S2.1f 
IO   ,of,Z5 
AT   ,the,Z5 
NN1  ,home,H4/H1c M6 
VBZ  ,is,A3+ Z5 
RR   ,gradually,T2++ 
JJ   ,subsiding,N5-/A2.1 W3 
II   ,from,Z5 
AT   ,the,Z5 
MD   ,first,N4 
NN1  ,stage,T1.2 N5.1- H2/K4 K4 A4.1 
II   ,to,Z5 
AT   ,the,Z5 
NNT1 ,second,T1.3 T1.2 
,    ,,,
VV0  ,take,X2.4[i5.3.1 X3.4[i5.3.1 A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@ 
AT1  ,a,X2.4[i5.3.2 X3.4[i5.3.2 Z5 
NN1  ,look,X2.4[i5.3.3 X3.4[i5.3.3 A8 X3.4 X2.4 O4.1 X3.4[i6.2.1 X2.4[i6.2.1 X2.1[i6.2.1 
II   ,at,Z5 X3.4[i6.2.2 X2.4[i6.2.2 X2.1[i6.2.2 
AT   ,the,Z5 
NN1  ,home,H4/H1c M6 
0,0,
AT1  ,A,Z5 
JJ   ,furnished,H5 
NN1  ,flat,H1/H4 M3 W3 B5% O4.4% 
II   ,at,Z5 
NNU  ,$8,Z99 
II   ,per,Z5 
NNT1 ,week,T1.3 
0,0,
PPH1 ,It,Z8 
VDD  ,did,Z5 A1.1.1 G2.2- X9.2+ E3- G2.1% 
XX   ,not,Z6 
RR   ,exactly,A4.2+ A5.3+ 
VVI  ,beggar,I1.1-/S2mf 
NN1  ,description,Q2.2 A4.1 
,    ,,,
CCB  ,but,Z5 
PPH1 ,it,Z8 
RR   ,certainly,A7+ 
VHD  ,had,A9+ Z5 A2.2 S4 
DD1  ,that,Z5 Z8 
NN1  ,word,Q3 Q2.1 S9@ 
II   ,on,X2.4[i7.3.1 Z5 
AT   ,the,X2.4[i7.3.2 Z5 
NN1  ,lookout,X2.4[i7.3.3 X2.4[i8.2.1 
IF   ,for,Z5 X2.4[i8.2.2 
AT   ,the,Z5 
NN1  ,mendicancy,S6+ I1.1- Q2.2 Q1.2 G2.1- 
NN1  ,squad,G3/S5+c S5+c 
0,0,
II   ,In,Z5 
AT   ,the,Z5 
NN1  ,vestibule,H2 
RL   ,below,M6 
VBDZ ,was,A3+ Z5 
AT1  ,a,Z5 
NN1  ,letter-box,Q1.2 O2 O4.4 Q4.3 G2.1 H2 K5.1 B5/K5.1@ A4.1@ A1.1.1 E3- Q2.2 S1.1.1 Q1.3 X7+ S9% Q3 M3/H2 Q1.2/O2 
II   ,into,Z5 
DDQ  ,which,Z8 Z5 
AT   ,no,Z6 
NN1  ,letter,Q1.2 Q3 
VM   ,would,A7+ 
VVI  ,go,M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1% 
,    ,,,
CC   ,and,Z5 
AT1  ,an,Z5 
JJ   ,electric,O3 
NN1  ,button,B5 O2 
II   ,from,Z5 
DDQ  ,which,Z8 Z5 
AT   ,no,Z6 
JJ   ,mortal,L1- A13.3 
NN1  ,finger,B1 O4.4 
VM   ,could,A7+ 
VVI  ,coax,Q2.2 S8+ 
AT1  ,a,Z5 
NN1  ,ring,Q1.3 X3.2 A8 B5 O4.4 O2 O3 S5+c M7/K5.1% 
0,0,
RR   ,Also,N5++ 
VVG  ,appertaining,A2.2 
NN1  ,thereunto,M6 A2.2 
VBDZ ,was,A3+ Z5 
AT1  ,a,Z5 
NN1  ,card,Q1.2 O1.1 I1.1/O2/Q1.1 K5.2 
VVG  ,bearing,M2 E2+ M6 B1@ 
AT   ,the,Z5 
NN1  ,name,Q2.2 
"    ,",,
NNB  ,Mr.,Z1m[i10.3.1 S2.2m Z1m[i9.2.1 
NP1  ,James,Z1m[i10.3.2 Z1m Z1m[i9.2.2 Z1mf[i11.2.1 Z3c[i11.2.1 Z1mf[i12.3.1 Z3c[i12.3.1 
NP1  ,Dillingham,Z1m[i10.3.3 Z1mf[i11.2.2 Z3c[i11.2.2 Z1mf[i12.3.2 Z3c[i12.3.2 Z1mf[i13.2.1 Z3c[i13.2.1 
NP1  ,Young,T3- Z1mf[i12.3.3 Z3c[i12.3.3 Z1mf[i13.2.2 Z3c[i13.2.2 
0,0,
"    ,",,
AT   ,The,Z5 
"    ,",,
NP1  ,Dillingham,Z99 
"    ,",,
VHD  ,had,Z5 A9+ A2.2 S4 
VBN  ,been,Z5 A3+ 
VVN  ,flung,M2 
II   ,to,Z5 
AT   ,the,Z5 
NN1  ,breeze,W4 A12+ 
II   ,during,Z5 
AT1  ,a,Z5 
DA   ,former,T2- N4 
NN1  ,period,T1.3 B1 Q3 P1/T1.3 
IO   ,of,Z5 
NN1  ,prosperity,I1.1+ 
CS   ,when,Z5 
APPGE,its,Z8 
NN1  ,possessor,A9+/S2mf 
VBDZ ,was,Z5 A3+ 
VBG  ,being,Z5 A3+ 
VVN  ,paid,I1.2 A9- I1.1/I3.1 
NNU  ,$30,Z99 
II   ,per,Z5 
NNT1 ,week,T1.3 
0,0,
RT   ,Now,T1.1.2 Z4 
,    ,,,
CS   ,when,Z5 
AT   ,the,Z5 
NN1  ,income,I1.1 
VBDZ ,was,Z5 A3+ 
VVN  ,shrunk,N3.2-/A2.1 E2-@ 
II   ,to,Z5 
NNU  ,$20,Z99 
,    ,,,
CS   ,though,Z5 
,    ,,,
PPHS2,they,Z8mfn 
VBDR ,were,Z5 A3+ 
VVG  ,thinking,X2.1 
RR   ,seriously,A13.3 Z4 E4.1- 
IO   ,of,Z5 
VVG  ,contracting,Q1.2/I2.1 N3.2-/A2.1 B2- 
II   ,to,Z5 
AT1  ,a,Z5 
JJ   ,modest,N3.2- S1.2.3- 
CC   ,and,Z5 
JJ   ,unassuming,S1.2.3- 
NP1  ,D.,Z5 
CCB  ,But,Z5 
RRQV ,whenever,Z5 
NNB  ,Mr.,Z1m[i15.3.1 S2.2m Z1m[i14.2.1 
NP1  ,James,Z1m[i15.3.2 Z1m Z1m[i14.2.2 Z1mf[i16.2.1 Z3c[i16.2.1 Z1mf[i17.3.1 Z3c[i17.3.1 
NP1  ,Dillingham,Z1m[i15.3.3 Z1mf[i16.2.2 Z3c[i16.2.2 Z1mf[i17.3.2 Z3c[i17.3.2 Z1mf[i18.2.1 Z3c[i18.2.1 
NP1  ,Young,T3- Z1mf[i17.3.3 Z3c[i17.3.3 Z1mf[i18.2.2 Z3c[i18.2.2 
VVD  ,came,M1[i19.2.1 M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2 
RL   ,home,M1[i19.2.2 H4 M6 
CC   ,and,Z5 
VVD  ,reached,M1 N3.3 Q2.1 X9.2+ 
APPGE,his,Z8m 
NN1  ,flat,H1/H4 M3 W3 B5% O4.4% 
RL   ,above,M6 A5.1++ 
PPHS1,he,Z8m 
VBDZ ,was,Z5 A3+ 
VVN  ,called,Q2.2 S1.1.1 Q1.3 S9% 
"    ,",,
NP1  ,Jim,Z1m 
"    ,",,
CC   ,and,Z5 
RR   ,greatly,A13.3 A5.1+ 
VVN  ,hugged,S3.2 
II   ,by,Z5 
NNB  ,Mrs.,Z1f[i23.3.1 Z1m[i21.3.1 Z1m[i20.2.1 Z1f[i22.2.1 
NP1  ,James,Z1f[i23.3.2 Z1m Z1m[i21.3.2 Z1m[i20.2.2 Z1f[i22.2.2 Z1mf[i24.2.1 Z3c[i24.2.1 Z1mf[i25.3.1 Z3c[i25.3.1 
NP1  ,Dillingham,Z1f[i23.3.3 Z1m[i21.3.3 Z1mf[i24.2.2 Z3c[i24.2.2 Z1mf[i25.3.2 Z3c[i25.3.2 Z1mf[i26.2.1 Z3c[i26.2.1 
NP1  ,Young,T3- Z1mf[i25.3.3 Z3c[i25.3.3 Z1mf[i26.2.2 Z3c[i26.2.2 
,    ,,,
RR   ,already,T1.1.1 
VVN  ,introduced,S1.1.1 T2+ 
II   ,to,Z5 
PPY  ,you,Z8mf 
CSA  ,as,Z5 
NP1  ,Della,Z99 
0,0,
DDQ  ,Which,Z5 Z8 
VBZ  ,is,A3+ Z5 
DB   ,all,N5.1+ 
RG   ,very,A13.3 
JJ   ,good,A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+ 
0,0,
NP1  ,Della,Z99 
VVD  ,finished,T2- A1.5.1/N5.1+ A1.1.1 X9.2- 
APPGE,her,Z8f 
NN1  ,cry,E4.1- Q2.2 
CC   ,and,Z5 
VVN  ,attended,A1.1.1[i27.2.1 S1.1.3+ X5.1+ 
II   ,to,A1.1.1[i27.2.2 Z5 
APPGE,her,Z8f 
NN2  ,cheeks,B1 S1.2.4- 
IW   ,with,Z5 
AT   ,the,Z5 
NN1  ,powder,O1.1 B4 G3 
NN1  ,rag,O2 Q4.2 E4.1+ 
0,0,
PPHS1,She,Z8f 
VVD  ,stood,M6 M2 M8 T2++ N3 A3+ X2.1 A7 G1.2 S8+ S7.4+ I2.2 S1.2.5+ 
II   ,by,Z5 
AT   ,the,Z5 
NN1  ,window,H2 T1.3 
CC   ,and,Z5 
VVD  ,looked,X3.4+[i29.2.1 X3.4+/S2mf[i29.2.1 X2.6+[i29.2.1 A8 X3.4 X2.4 X7+ X3.4[i28.2.1 X2.4[i28.2.1 X2.1[i28.2.1 
RP   ,out,X3.4+/S2mf[i29.2.2 X2.6+[i29.2.2 X3.4+[i29.2.2 M6 
RR   ,dully,X5.2- O4.3 W2 W4 X3.2 N5- 
II   ,at,Z5 X3.4[i28.2.2 X2.4[i28.2.2 X2.1[i28.2.2 
AT1  ,a,Z5 
JJ   ,gray,O4.3 
NN1  ,cat,L2 M3 
VVG  ,walking,M1 L2 X9.2+/A12+ 
AT1  ,a,Z5 
JJ   ,gray,O4.3 
NN1  ,fence,H2 G2.1-/S2mf A6.1- 
II   ,in,Z5 
AT1  ,a,Z5 
JJ   ,gray,O4.3 
NN1  ,backyard,H3 
0,0,                        
